episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,steps_survived,food_collected,terminated,truncated,end_reason,environment_steps,optimizer_updates
74,-0.4799999999999933,10,0.960993,0.019396253056280937,0.2702702702702703,50,49,1,True,False,wall,4106,777
75,-10.63,0,0.960385,0.014690322350361384,0.26666666666666666,64,63,0,True,False,wall,4170,793
76,-10.41,0,0.959986,0.031217480247670956,0.2631578947368421,42,41,0,True,False,wall,4212,804
77,-0.9699999999999829,10,0.9590455,0.01729999007269119,0.38961038961038963,99,98,1,True,False,wall,4311,828
78,-1.0699999999999772,10,0.95801,0.031203490985457653,0.5128205128205128,109,108,1,True,False,wall,4420,856
79,-10.860000000000001,0,0.9571835,0.024295037451554976,0.5063291139240507,87,86,0,True,False,wall,4507,877
80,-10.58,0,0.956623,0.008336855036516985,0.5,59,58,0,True,False,wall,4566,892
81,-10.35,0,0.956281,0.021260963507100113,0.49382716049382713,36,35,0,True,False,wall,4602,901
82,-10.47,0,0.955825,0.0038544300963015607,0.4878048780487805,48,47,0,True,False,wall,4650,913
83,-10.3,0,0.9555305000000001,0.02219476696336642,0.4819277108433735,31,30,0,True,False,wall,4681,921
84,-10.43,0,0.9551125,0.016798105535351417,0.47619047619047616,44,43,0,True,False,wall,4725,932
85,-10.41,0,0.9547135,0.0023607917013578118,0.47058823529411764,42,41,0,True,False,wall,4767,942
86,-10.76,0,0.953982,0.003502175287576392,0.46511627906976744,77,76,0,True,False,wall,4844,962
87,-11.430000000000001,0,0.952614,0.0025940321437600586,0.45977011494252873,144,143,0,True,False,wall,4988,998
88,-10.82,0,0.9518255,0.01706936956034042,0.45454545454545453,83,82,0,True,False,wall,5071,1018
89,-10.49,0,0.9513505,0.01413066339535782,0.449438202247191,50,49,0,True,False,wall,5121,1031
90,-11.330000000000002,0,0.9500775,0.015930400450474048,0.4444444444444444,134,133,0,True,False,wall,5255,1064
91,-10.42,0,0.949669,0.0022189826651645653,0.43956043956043955,43,42,0,True,False,wall,5298,1075
92,-0.49999999999999467,10,0.949175,0.01366683127036175,0.5434782608695652,52,51,1,True,False,wall,5350,1088
93,-10.32,0,0.9488615,0.001900753180962056,0.5376344086021505,33,32,0,True,False,wall,5383,1096
94,-10.38,0,0.948491,0.001666475075762719,0.5319148936170213,39,38,0,True,False,wall,5422,1106
