episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,turn_rate,repeat_penalty,potential_reward
1,-10.3,0,0.9997055,,0,31,0.6129032258064516,0.0,0.0
2,-10.64,0,0.999088,,0,65,0.6615384615384615,0.0,0.0
3,-10.72,0,0.9983945,,0,73,0.589041095890411,0.0,0.0
4,-10.73,0,0.9976915,,0,74,0.6621621621621622,0.0,0.0
5,-10.28,0,0.997416,,0,29,0.4827586206896552,0.0,0.0
6,-10.97,0,0.996485,,0,98,0.7142857142857143,0.0,0.0
7,-10.67,0,0.995839,,0,68,0.6617647058823529,0.0,0.0
8,-10.46,0,0.9953925,,0,47,0.7021276595744681,0.0,0.0
9,-10.19,0,0.9952025,,0,20,0.75,0.0,0.0
10,-10.2,0,0.995003,,0,21,0.5714285714285714,0.0,0.0
11,-10.780000000000001,0,0.9942525,,0,79,0.759493670886076,0.0,0.0
12,-10.27,0,0.9939865,,0,28,0.5357142857142857,0.0,0.0
13,-10.96,0,0.993065,,0,97,0.7216494845360825,0.0,0.0
14,-10.700000000000001,0,0.9923905,,0,71,0.8028169014084507,0.0,0.0
15,-10.23,0,0.9921625,,0,24,0.625,0.0,0.0
16,-10.36,0,0.991811,,0,37,0.5405405405405406,0.0,0.0
17,-10.49,0,0.991336,,0,50,0.64,0.0,0.0
18,-10.26,0,0.9910795,,0,27,0.6666666666666666,0.0,0.0
19,-10.51,0,0.9905855,,0,52,0.6923076923076923,0.0,0.0
20,-10.48,0,0.99012,0.153941937235438,0,49,0.7551020408163265,0.0,0.0
21,-10.31,0,0.989816,0.2440791662374977,0,32,0.78125,0.0,0.0
22,-10.32,0,0.9895025,0.16861685087314982,0,33,0.5151515151515151,0.0,0.0
23,-10.82,0,0.988714,0.17083301013432597,0,83,0.6385542168674698,0.0,0.0
24,-10.540000000000001,0,0.9881915,0.217158815863793,0,55,0.6,0.0,0.0
25,-11.32,0,0.986928,0.16937279752442813,0,133,0.6842105263157895,0.0,0.0
26,-10.77,0,0.986187,0.14633307097200918,0,78,0.7564102564102564,0.0,0.0
27,-10.780000000000001,0,0.9854365,0.1453118758799974,0,79,0.6835443037974683,0.0,0.0
28,-10.33,0,0.9851135,0.12655832373820886,0,34,0.5588235294117647,0.0,0.0
29,-10.780000000000001,0,0.984363,0.1361609562052763,0,79,0.569620253164557,0.0,0.0
30,-10.38,0,0.9839925,0.27099246756406503,0,39,0.6410256410256411,0.0,0.0
31,-10.27,0,0.9837265,0.12212937441238735,0,28,0.5,0.0,0.0
32,-10.34,0,0.983394,0.1415624141712518,0,35,0.7142857142857143,0.0,0.0
33,-10.46,0,0.9829475,0.20301484049625948,0,47,0.6808510638297872,0.0,0.0
34,-11.05,0,0.9819405,0.23154240434437437,0,106,0.7075471698113207,0.0,0.0
35,-10.19,0,0.9817505,0.21572760809212924,0,20,0.5,0.0,0.0
36,-10.290000000000001,0,0.9814655,0.0762222981346505,0,30,0.7666666666666667,0.0,0.0
37,-10.92,0,0.980582,0.1668226423256177,0,93,0.6774193548387096,0.0,0.0
38,-10.68,0,0.9799265,0.1259504925315816,0,69,0.6956521739130435,0.0,0.0
39,-10.540000000000001,0,0.979404,0.1630205808822731,0,55,0.6545454545454545,0.0,0.0
40,-10.28,0,0.9791285,0.09685109659663535,0,29,0.7586206896551724,0.0,0.0
41,-10.4,0,0.978739,0.22113713207654656,0,41,0.7317073170731707,0.0,0.0
42,-10.35,0,0.978397,0.10142765970279773,0,36,0.6388888888888888,0.0,0.0
43,-10.98,0,0.9774565,0.10822332661133259,0,99,0.6565656565656566,0.0,0.0
44,-10.49,0,0.9769815,0.10317329420164849,0,50,0.64,0.0,0.0
45,-10.84,0,0.976174,0.1037836393568961,0,85,0.7176470588235294,0.0,0.0
46,-10.17,0,0.976003,0.11217556416522712,0,18,0.5555555555555556,0.0,0.0
47,-10.24,0,0.9757655,0.06225054097982744,0,25,0.56,0.0,0.0
48,-10.33,0,0.9754425,0.1004518366082468,0,34,0.7647058823529411,0.0,0.0
49,-10.21,0,0.9752335,0.10811480812262744,0,22,0.5909090909090909,0.0,0.0
50,-11.620000000000001,0,0.973685,0.080345389485734,0,163,0.6871165644171779,0.0,0.0
51,-10.57,0,0.973134,0.07142285781446844,0,58,0.7241379310344828,0.0,0.0
52,-11.110000000000001,0,0.97207,0.04046555789370489,0,112,0.6696428571428571,0.0,0.0
53,-10.4,0,0.9716805,0.015878189145587383,0,41,0.6829268292682927,0.0,0.0
54,-10.38,0,0.97131,0.03692185980034992,0,39,0.5897435897435898,0.0,0.0
55,-10.5,0,0.9708255,0.04780502401990816,0,51,0.7058823529411765,0.0,0.0
56,-11.0,0,0.969866,0.03351315922694854,0,101,0.7227722772277227,0.0,0.0
57,-10.89,0,0.969011,0.020745661051478237,0,90,0.7222222222222222,0.0,0.0
58,-10.46,0,0.9685645,0.06891403664485551,0,47,0.48936170212765956,0.0,0.0
59,-10.36,0,0.968213,0.028992003709491756,0,37,0.7297297297297297,0.0,0.0
60,-10.860000000000001,0,0.9673865,0.030711724354081194,0,87,0.5172413793103449,0.0,0.0
61,-10.860000000000001,0,0.96656,0.03647595534990118,0,87,0.6781609195402298,0.0,0.0
62,-10.370000000000001,0,0.966199,0.052039305576019816,0,38,0.7105263157894737,0.0,0.0
63,-10.27,0,0.965933,0.023297428569224263,0,28,0.6785714285714286,0.0,0.0
64,-10.24,0,0.9656955,0.035549624221554645,0,25,0.72,0.0,0.0
65,-10.96,0,0.964774,0.030192499933764338,0,97,0.6597938144329897,0.0,0.0
66,-10.21,0,0.964565,0.02242899249540642,0,22,0.6818181818181818,0.0,0.0
67,-10.55,0,0.964033,0.01466433088977023,0,56,0.5892857142857143,0.0,0.0
68,-10.34,0,0.9637005,0.04962444516261005,0,35,0.8571428571428571,0.0,0.0
69,-10.59,0,0.9631305,0.0287621564619864,0,60,0.6,0.0,0.0
70,-0.34999999999999254,10,0.962779,0.02964841835718188,0.14285714285714285,37,0.6216216216216216,0.0,0.0
