policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Random,500000,51,500050,1500000,0,31,30,0,3,31,wall,wall,False,True,False,0.45161290322580644,-10.3
Random,500000,52,500051,1500000,0,22,21,0,3,22,wall,wall,False,True,False,0.6818181818181818,-10.21
Random,500000,53,500052,1500000,0,42,41,0,3,42,wall,wall,False,True,False,0.6190476190476191,-10.41
Random,500000,54,500053,1500000,0,59,58,0,3,59,wall,wall,False,True,False,0.7457627118644068,-10.58
Random,500000,55,500054,1500000,10,85,84,1,4,11,wall,wall,False,True,False,0.5882352941176471,-0.8299999999999983
Random,500000,56,500055,1500000,0,86,85,0,3,86,wall,wall,False,True,False,0.6162790697674418,-10.850000000000001
Random,500000,57,500056,1500000,0,36,35,0,3,36,wall,wall,False,True,False,0.5555555555555556,-10.35
Random,500000,58,500057,1500000,0,38,37,0,3,38,wall,wall,False,True,False,0.5789473684210527,-10.370000000000001
Random,500000,59,500058,1500000,0,23,22,0,3,23,wall,wall,False,True,False,0.43478260869565216,-10.22
Random,500000,60,500059,1500000,0,34,33,0,3,34,wall,wall,False,True,False,0.6176470588235294,-10.33
Random,500000,61,500060,1500000,0,79,78,0,3,79,wall,wall,False,True,False,0.6708860759493671,-10.780000000000001
Random,500000,62,500061,1500000,0,49,48,0,3,49,wall,wall,False,True,False,0.7142857142857143,-10.48
Random,500000,63,500062,1500000,0,19,18,0,3,19,wall,wall,False,True,False,0.42105263157894735,-10.18
Random,500000,64,500063,1500000,0,108,107,0,3,108,wall,wall,False,True,False,0.5740740740740741,-11.07
Random,500000,65,500064,1500000,0,33,32,0,3,33,wall,wall,False,True,False,0.6060606060606061,-10.32
Random,500000,66,500065,1500000,0,27,26,0,3,27,wall,wall,False,True,False,0.6666666666666666,-10.26
Random,500000,67,500066,1500000,0,158,157,0,3,158,wall,wall,False,True,False,0.6329113924050633,-11.57
Random,500000,68,500067,1500000,0,27,26,0,3,27,wall,wall,False,True,False,0.6666666666666666,-10.26
Random,500000,69,500068,1500000,10,57,56,1,4,54,wall,wall,False,True,False,0.5964912280701754,-0.5499999999999883
Random,500000,70,500069,1500000,0,63,62,0,3,63,wall,wall,False,True,False,0.6349206349206349,-10.620000000000001
Random,500000,71,500070,1500000,0,62,61,0,3,62,wall,wall,False,True,False,0.6129032258064516,-10.61
Random,500000,72,500071,1500000,0,59,58,0,3,59,wall,wall,False,True,False,0.6271186440677966,-10.58
