policy,seed,assistance,score,food_collected,steps,steps_survived,turn_ratio,terminated,truncated,won,end_reason,max_length,max_occupancy_percent,reached_half,ordered_requested_step,ordered_locked_step,ordered_steps,recovery_steps,repeated_states,max_repeated_cycle_length,repeated_ordered_states,unexpected_ordered_fallbacks,ordered_progress_errors,collision_after_requested,collision_after_locked,no_food_after_requested,steps_half_to_win,elapsed_seconds,overrides,max_decision_ms
Random,safety-8,True,1300,130,3000,3000,0.21933333333333332,False,True,False,evaluation_step_limit,133,33.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.12379769999999984,1734,0.4794999999999163
Random,safety-9,True,1200,120,3000,3000,0.207,False,True,False,evaluation_step_limit,123,30.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.10565429999999992,1780,0.4621999999999389
Random,safety-10,True,1210,121,3000,3000,0.25466666666666665,False,True,False,evaluation_step_limit,124,31,False,,,0,0,0,0,0,0,0,False,False,False,,0.1241259,1661,0.47469999999998436
Random,safety-11,True,1320,132,3000,3000,0.24,False,True,False,evaluation_step_limit,135,33.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.11385660000000007,1710,0.49459999999999127
Random,safety-12,True,1370,137,3000,3000,0.202,False,True,False,evaluation_step_limit,140,35,False,,,0,0,0,0,0,0,0,False,False,False,,0.10069099999999981,1796,0.46630000000004657
Random,safety-13,True,1180,118,3000,3000,0.26566666666666666,False,True,False,evaluation_step_limit,121,30.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.14063810000000013,1639,1.2029999999999745
Random,safety-14,True,1180,118,3000,3000,0.27166666666666667,False,True,False,evaluation_step_limit,121,30.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.11995820000000003,1633,0.3047999999998865
Random,safety-15,True,1250,125,3000,3000,0.248,False,True,False,evaluation_step_limit,128,32,False,,,0,0,0,0,0,0,0,False,False,False,,0.11480810000000019,1711,0.4281999999998334
Random,safety-16,True,1250,125,3000,3000,0.255,False,True,False,evaluation_step_limit,128,32,False,,,0,0,0,0,0,0,0,False,False,False,,0.11637700000000017,1699,0.4005000000001928
Random,safety-17,True,1320,132,3000,3000,0.22733333333333333,False,True,False,evaluation_step_limit,135,33.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.11548070000000007,1773,0.5968000000002576
Random,safety-18,True,1170,117,3000,3000,0.25133333333333335,False,True,False,evaluation_step_limit,120,30,False,,,0,0,0,0,0,0,0,False,False,False,,0.11806359999999995,1668,0.3746000000001004
Random,safety-19,True,1250,125,3000,3000,0.25333333333333335,False,True,False,evaluation_step_limit,128,32,False,,,0,0,0,0,0,0,0,False,False,False,,0.12526569999999992,1709,0.570299999999861
Heuristic,safety-0,False,150,15,225,224,0.15555555555555556,True,False,False,self,18,4.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.0008403000000002976,0,0.11419999999998254
Heuristic,safety-1,False,330,33,522,521,0.1360153256704981,True,False,False,self,36,9,False,,,0,0,0,0,0,0,0,False,False,False,,0.0020239000000001396,0,0.01569999999992433
Heuristic,safety-2,False,410,41,593,592,0.11129848229342328,True,False,False,wall,44,11,False,,,0,0,0,0,0,0,0,False,False,False,,0.002163299999999708,0,0.004100000000107684
Heuristic,safety-3,False,400,40,571,570,0.14535901926444833,True,False,False,self,43,10.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.001955399999999827,0,0.004399999999805004
Heuristic,safety-4,False,320,32,422,421,0.12322274881516587,True,False,False,self,35,8.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.0016545999999998458,0,0.04129999999986467
Heuristic,safety-5,False,130,13,178,177,0.14606741573033707,True,False,False,self,16,4,False,,,0,0,0,0,0,0,0,False,False,False,,0.0006739999999999782,0,0.02430000000003929
