episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps
2004,68.53999999999975,80,0.050000000000000044,0.39895030779716295,65,155
2005,108.29999999999956,120,0.050000000000000044,0.38940438338451916,76,183
2006,265.9400000000022,280,0.050000000000000044,0.39485413779359346,110,435
2007,68.52999999999996,80,0.050000000000000044,0.4112097229808569,105.71428571428571,156
2008,137.42999999999967,150,0.050000000000000044,0.3881620414801599,111.25,273
2009,49.03000000000007,60,0.050000000000000044,0.46263544576672405,105.55555555555556,104
2010,9.959999999999997,20,0.050000000000000044,0.46135371923446655,97,7
2011,19.409999999999936,30,0.050000000000000044,0.40551060857251287,90.9090909090909,63
2012,18.1999999999998,30,0.050000000000000044,0.3654635509719019,85.83333333333333,184
2013,38.789999999999964,50,0.050000000000000044,0.39788811560720205,83.07692307692308,127
2014,166.43000000000052,180,0.050000000000000044,0.3518460029934315,90,376
2015,19.579999999999984,30,0.050000000000000044,0.4225808121263981,86,46
2016,88.79999999999981,100,0.050000000000000044,0.4244369056188699,86.875,131
2017,29.320000000000036,40,0.050000000000000044,0.36247629755073124,84.11764705882354,73
2018,157.58,170,0.050000000000000044,0.3863188867528851,88.88888888888889,260
2019,127.17999999999932,140,0.050000000000000044,0.4079302079170137,91.57894736842105,297
2020,19.62999999999997,30,0.050000000000000044,0.3597032514146783,88.5,41
2021,108.34999999999965,120,0.050000000000000044,0.4061439359052615,90,178
2022,68.46999999999984,80,0.050000000000000044,0.43022268192797175,89.54545454545455,162
2023,68.32999999999977,80,0.050000000000000044,0.4102586602199484,89.1304347826087,176
2024,59.19000000000007,70,0.050000000000000044,0.319462849335237,88.33333333333333,89
2025,39.159999999999975,50,0.050000000000000044,0.3369689757343043,86.8,90
2026,9.849999999999998,20,0.050000000000000044,0.1989146113395691,84.23076923076923,18
2027,158.08999999999992,170,0.050000000000000044,0.4267926892408958,87.4074074074074,209
2028,88.42999999999952,100,0.050000000000000044,0.3964590540244466,87.85714285714286,168
2029,177.19000000000045,190,0.050000000000000044,0.3748488863557577,91.37931034482759,301
2030,197.30000000000092,210,0.050000000000000044,0.35933571030730255,95.33333333333333,292
2031,98.72999999999979,110,0.050000000000000044,0.45214278804404395,95.80645161290323,139
2032,19.229999999999936,30,0.050000000000000044,0.3851708554662764,93.75,81
2033,246.50000000000165,260,0.050000000000000044,0.37311821297595377,98.78787878787878,377
2034,147.82999999999987,160,0.050000000000000044,0.4046920369668254,100.58823529411765,234
2035,107.86999999999972,120,0.050000000000000044,0.4499067302074349,101.14285714285714,226
2036,176.820000000001,190,0.050000000000000044,0.40821245523347033,103.61111111111111,338
