episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,turn_rate,repeat_penalty,potential_reward
2001,137.49999999999994,150,0.050000000000000044,0.4447863753519806,150,266,0.650375939849624,0.0,0.0
2002,9.409999999999982,20,0.050000000000000044,0.40284914473692573,85,62,0.7903225806451613,0.0,0.0
2003,-0.28999999999999915,10,0.050000000000000044,0.40959122218191624,60,31,0.6451612903225806,0.0,0.0
2004,68.53999999999975,80,0.050000000000000044,0.39895030779716295,65,155,0.4774193548387097,0.0,0.0
2005,108.29999999999956,120,0.050000000000000044,0.38940438338451916,76,183,0.6120218579234973,0.0,0.0
2006,265.9400000000022,280,0.050000000000000044,0.39485413779359346,110,435,0.5586206896551724,0.0,0.0
2007,68.52999999999996,80,0.050000000000000044,0.4112097229808569,105.71428571428571,156,0.46153846153846156,0.0,0.0
2008,137.42999999999967,150,0.050000000000000044,0.3881620414801599,111.25,273,0.4981684981684982,0.0,0.0
2009,49.03000000000007,60,0.050000000000000044,0.46263544576672405,105.55555555555556,104,0.40384615384615385,0.0,0.0
2010,9.959999999999997,20,0.050000000000000044,0.46135371923446655,97,7,0.7142857142857143,0.0,0.0
2011,19.409999999999936,30,0.050000000000000044,0.40551060857251287,90.9090909090909,63,0.5396825396825397,0.0,0.0
2012,18.1999999999998,30,0.050000000000000044,0.3654635509719019,85.83333333333333,184,0.29891304347826086,0.0,0.0
2013,38.789999999999964,50,0.050000000000000044,0.39788811560720205,83.07692307692308,127,0.29133858267716534,0.0,0.0
2014,166.43000000000052,180,0.050000000000000044,0.3518460029934315,90,376,0.45478723404255317,0.0,0.0
2015,19.579999999999984,30,0.050000000000000044,0.4225808121263981,86,46,0.7608695652173914,0.0,0.0
2016,88.79999999999981,100,0.050000000000000044,0.4244369056188699,86.875,131,0.6793893129770993,0.0,0.0
2017,29.320000000000036,40,0.050000000000000044,0.36247629755073124,84.11764705882354,73,0.1780821917808219,0.0,0.0
2018,157.58,170,0.050000000000000044,0.3863188867528851,88.88888888888889,260,0.5076923076923077,0.0,0.0
2019,127.17999999999932,140,0.050000000000000044,0.4079302079170137,91.57894736842105,297,0.5656565656565656,0.0,0.0
2020,19.62999999999997,30,0.050000000000000044,0.3597032514146783,88.5,41,0.5609756097560976,0.0,0.0
2021,108.34999999999965,120,0.050000000000000044,0.4061439359052615,90,178,0.5393258426966292,0.0,0.0
2022,68.46999999999984,80,0.050000000000000044,0.43022268192797175,89.54545454545455,162,0.5740740740740741,0.0,0.0
2023,68.32999999999977,80,0.050000000000000044,0.4102586602199484,89.1304347826087,176,0.5795454545454546,0.0,0.0
2024,59.19000000000007,70,0.050000000000000044,0.319462849335237,88.33333333333333,89,0.48314606741573035,0.0,0.0
2025,39.159999999999975,50,0.050000000000000044,0.3369689757343043,86.8,90,0.6777777777777778,0.0,0.0
2026,9.849999999999998,20,0.050000000000000044,0.1989146113395691,84.23076923076923,18,0.4444444444444444,0.0,0.0
2027,158.08999999999992,170,0.050000000000000044,0.4267926892408958,87.4074074074074,209,0.6794258373205742,0.0,0.0
2028,88.42999999999952,100,0.050000000000000044,0.3964590540244466,87.85714285714286,168,0.5952380952380952,0.0,0.0
2029,177.19000000000045,190,0.050000000000000044,0.3748488863557577,91.37931034482759,301,0.4684385382059801,0.0,0.0
2030,197.30000000000092,210,0.050000000000000044,0.35933571030730255,95.33333333333333,292,0.476027397260274,0.0,0.0
2031,98.72999999999979,110,0.050000000000000044,0.45214278804404395,95.80645161290323,139,0.460431654676259,0.0,0.0
2032,19.229999999999936,30,0.050000000000000044,0.3851708554662764,93.75,81,0.5679012345679012,0.0,0.0
2033,246.50000000000165,260,0.050000000000000044,0.37311821297595377,98.78787878787878,377,0.4907161803713528,0.0,0.0
2034,147.82999999999987,160,0.050000000000000044,0.4046920369668254,100.58823529411765,234,0.5897435897435898,0.0,0.0
2035,107.86999999999972,120,0.050000000000000044,0.4499067302074349,101.14285714285714,226,0.4690265486725664,0.0,0.0
2036,176.820000000001,190,0.050000000000000044,0.40821245523347033,103.61111111111111,338,0.5976331360946746,0.0,0.0
2037,39.140000000000065,50,0.050000000000000044,0.48982138089511706,102.16216216216216,92,0.4782608695652174,0.0,0.0
2038,39.39000000000001,50,0.050000000000000044,0.42004666082999287,100.78947368421052,67,0.5522388059701493,0.0,0.0
2039,19.13999999999994,30,0.050000000000000044,0.3924342520873655,98.97435897435898,90,0.45555555555555555,0.0,0.0
2040,98.1199999999996,110,0.050000000000000044,0.3724690642207861,99.25,200,0.6,0.0,0.0
2041,-10.28,0,0.050000000000000044,0.531501330435276,96.82926829268293,29,0.8620689655172413,0.0,0.0
2042,49.36000000000002,60,0.050000000000000044,0.31597207267494765,95.95238095238095,71,0.5492957746478874,0.0,0.0
2043,9.699999999999992,20,0.050000000000000044,0.3601175993680954,94.18604651162791,33,0.5151515151515151,0.0,0.0
2044,235.26000000000124,250,0.050000000000000044,0.41204363626241686,97.72727272727273,500,0.428,0.0,0.0
2045,19.569999999999954,30,0.050000000000000044,0.38632136921991,96.22222222222223,47,0.5531914893617021,0.0,0.0
2046,187.05000000000024,200,0.050000000000000044,0.3773546103812471,98.47826086956522,316,0.6455696202531646,0.0,0.0
2047,127.53999999999957,140,0.050000000000000044,0.37786100590319344,99.36170212765957,261,0.524904214559387,0.0,0.0
2048,128.12999999999965,140,0.050000000000000044,0.3807227202504873,100.20833333333333,202,0.5247524752475248,0.0,0.0
2049,38.99000000000003,50,0.050000000000000044,0.45955573795018373,99.18367346938776,107,0.48598130841121495,0.0,0.0
2050,235.72000000000088,250,0.050000000000000044,0.37382038984348814,102.2,454,0.5220264317180616,0.0,0.0
2051,137.85000000000005,150,0.050000000000000044,0.3357624054468911,103.13725490196079,231,0.5670995670995671,0.0,0.0
2052,8.980000000000018,20,0.050000000000000044,0.41418604051264435,101.53846153846153,105,0.5428571428571428,0.0,0.0
2053,-0.16999999999999993,10,0.050000000000000044,0.40442908406257627,99.81132075471699,19,0.8421052631578947,0.0,0.0
2054,29.209999999999958,40,0.050000000000000044,0.3193525554878371,98.70370370370371,84,0.47619047619047616,0.0,0.0
2055,19.13999999999994,30,0.050000000000000044,0.35577844285770605,97.45454545454545,90,0.6555555555555556,0.0,0.0
2056,59.01000000000006,70,0.050000000000000044,0.3730904571712017,96.96428571428571,107,0.6448598130841121,0.0,0.0
2057,19.169999999999956,30,0.050000000000000044,0.3603193283250386,95.78947368421052,87,0.5747126436781609,0.0,0.0
2058,176.800000000001,190,0.050000000000000044,0.3559096181217362,97.41379310344827,340,0.47941176470588237,0.0,0.0
2059,-0.23999999999999844,10,0.050000000000000044,0.5089876311165946,95.9322033898305,26,0.38461538461538464,0.0,0.0
2060,157.22000000000025,170,0.050000000000000044,0.3705572197213769,97.16666666666667,296,0.5945945945945946,0.0,0.0
2061,157.1200000000001,170,0.050000000000000044,0.3526074887057276,98.36065573770492,306,0.5196078431372549,0.0,0.0
2062,49.250000000000064,60,0.050000000000000044,0.32832191033022745,97.74193548387096,82,0.4268292682926829,0.0,0.0
2063,88.86999999999986,100,0.050000000000000044,0.3533207244209705,97.77777777777777,124,0.5241935483870968,0.0,0.0
2064,235.69000000000122,250,0.050000000000000044,0.3651732824285302,100.15625,457,0.5295404814004376,0.0,0.0
2065,78.92999999999984,90,0.050000000000000044,0.3356919548120992,100,117,0.5213675213675214,0.0,0.0
2066,167.3399999999997,180,0.050000000000000044,0.34724456628023737,101.21212121212122,285,0.5052631578947369,0.0,0.0
2067,294.98000000000275,310,0.050000000000000044,0.3705728065722914,104.32835820895522,534,0.48314606741573035,0.0,0.0
2068,157.15000000000026,170,0.050000000000000044,0.3447348980331107,105.29411764705883,303,0.594059405940594,0.0,0.0
2069,28.979999999999947,40,0.050000000000000044,0.33256426131209504,104.34782608695652,107,0.4766355140186916,0.0,0.0
2070,187.29000000000065,200,0.050000000000000044,0.2955532701660509,105.71428571428571,292,0.589041095890411,0.0,0.0
