episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,turn_rate,repeat_penalty,potential_reward
2001,135.59850000000006,150,0.050000000000000044,0.41490196783606914,150,266,0.6729323308270677,0.0,-1.0115000000000016
2002,8.778750000000002,20,0.050000000000000044,0.3307887860215627,85,52,0.6346153846153846,-0.05,-0.5212500000000002
2003,135.92575000000008,150,0.050000000000000044,0.3756480648298748,106.66666666666667,256,0.58203125,0.0,-0.9342500000000014
2004,125.64575,140,0.050000000000000044,0.3976884272062417,115,267,0.5318352059925093,-0.25,-0.879250000000001
2005,-0.3542500000000004,10,0.050000000000000044,0.4849025785923004,94,18,0.5555555555555556,0.0,-0.14925000000000002
2006,117.18574999999997,130,0.050000000000000044,0.3640016096178442,100,162,0.5802469135802469,0.0,-0.8692500000000007
2007,175.81771739130437,190,0.050000000000000044,0.44165059280298324,112.85714285714286,276,0.4746376811594203,0.0,-0.9722826086956544
2008,18.99525,30,0.050000000000000044,0.4349367066341288,102.5,66,0.48484848484848486,0.0,-0.22975000000000018
2009,223.61578571428564,240,0.050000000000000044,0.4216192526121934,117.77777777777777,458,0.4170305676855895,0.0,-1.1042142857142887
2010,126.21024999999995,140,0.050000000000000044,0.4281894418931866,120,233,0.3948497854077253,-0.15000000000000002,-1.004750000000001
2011,96.17300000000002,110,0.050000000000000044,0.3859271900107463,119.0909090909091,240,0.43333333333333335,-0.2,-0.8320000000000008
2012,18.980250000000005,30,0.050000000000000044,0.3804819560609758,111.66666666666667,67,0.3582089552238806,0.0,-0.26975000000000027
2013,57.84625,70,0.050000000000000044,0.449882528998635,108.46153846153847,132,0.4621212121212121,0.0,-0.6137500000000007
2014,26.276250000000022,40,0.050000000000000044,0.37838692342241603,103.57142857142857,119,0.5546218487394958,-1.6,-0.6587500000000002
2015,47.705749999999966,60,0.050000000000000044,0.3691183450601755,100.66666666666667,124,0.7016129032258065,0.0,-0.6942500000000005
2016,126.42789052287577,140,0.050000000000000044,0.39261806859738296,103.125,217,0.5576036866359447,0.0,-0.9521094771241838
